#Terrains
#Type;R;G;B;group;
farmlands;128;6;3;temperate; #Dark Red
desert;190;164;75;desert; #Sand
drylands;214;120;0;desert; #Orange
hills;76;50;15;temperate; #Brown
forest;43;117;0;forest; #Dark Green
jungle;0;129;77;forest; #BluishGreen
mountains;102;102;102;mountains; #Grey
desert_mountains;134;89;50;mountains; #Light Brown
wetlands;28;141;120;temperate; #Light Blue
plains;39;219;0;temperate; #Light Green
oasis;217;1;192;desert; #Purple
steppe;244;215;0;desert; #Yellow
taiga;0;74;0;forest; #Dark Green
floodplains;145;255;145;temperate; #White Green
